#Date,news positivity,news negativity,stock change
2010-06-01,9.8928579072,12.0278239109,-1
2010-06-02,14.942793462,18.2956832021,2
2010-06-03,8.4936928655,11.4728398644,0
2010-06-04,13.6499158575,22.5766016698,-2
2010-06-07,8.2850170556,13.1333845107,-1
2010-06-08,9.204885372,13.9820157171,1
2010-06-09,13.9949409781,13.6101486368,-1
2010-06-10,10.303702304,17.1417696472,2
2010-06-11,11.4392417746,13.46554787,1
2010-06-14,10.0930886473,16.4917314155,-1
2010-06-15,12.7068007197,16.1181795084,2
2010-06-16,9.7780435693,15.6149188162,0
2010-06-17,9.2391530266,7.8145578787,1
2010-06-18,10.120392178,15.2712172828,1
2010-06-21,12.4817583089,16.68589472,0
2010-06-22,12.4391029363,16.7040114651,-2
2010-06-23,9.8667781176,11.7481827195,0
2010-06-24,10.2873083091,11.7275450475,-2
2010-06-25,11.4207725385,16.5585189412,0
2010-06-28,12.742430026,16.0016673775,0
2010-06-29,9.9529706109,13.7962420585,-2
2010-06-30,16.103368978,22.5092816891,-1
2010-07-01,12.4598605522,10.3095761389,-1
2010-07-02,10.9469352242,14.0451908109,-1
2010-07-06,8.9584175064,11.9505682542,1
2010-07-07,7.8435110228,14.0101755496,2
2010-07-08,12.0683331077,12.9582337657,1
2010-07-09,8.5804311795,14.1734898683,1
2010-07-12,9.8213245486,15.4620750594,1
2010-07-13,8.5133065386,14.0699225356,2
2010-07-14,11.021952078,16.521349053,0
2010-07-15,13.5337398457,16.8550218583,0
2010-07-16,14.5883615663,17.8082251768,-2
2010-07-19,12.3919175518,13.1940828009,1
2010-07-20,15.1716911967,12.4405783398,1
2010-07-21,11.7074155896,14.8884940766,-1
2010-07-22,9.2207316658,10.4711582932,2
2010-07-23,13.6371162201,18.1504475415,1
2010-07-26,12.5082315098,14.2139166448,1
2010-07-27,11.0938825347,14.3346519425,0
2010-07-28,11.3413756545,16.513531802,-1
2010-07-29,11.5858273706,10.7485708637,-1
2010-07-30,11.3502012294,16.7885838861,0
2010-08-02,10.2132246565,16.9639539074,2
2010-08-03,11.8082640966,17.4674940549,-1
2010-08-04,7.2374441531,9.3647612804,1
2010-08-05,11.179382864,13.2011710397,0
2010-08-06,8.8231930139,14.2410758042,-1
2010-08-09,10.2196000244,16.6590707604,1
2010-08-10,11.0715907281,17.1485397317,-1
2010-08-11,8.2919390703,11.4574085645,-2
2010-08-12,8.4983437557,16.5225856014,-1
2010-08-13,9.5710163802,13.1500656199,-1
2010-08-16,11.177477134,11.57493347,0
2010-08-17,12.0250586487,12.8016499164,1
2010-08-18,6.9932353852,9.3559439764,1
2010-08-19,9.3133942855,12.7734982134,-1
2010-08-20,9.586497027,15.8229330255,-1
2010-08-23,10.1844396229,10.0324252484,-1
2010-08-24,12.8920976583,19.2272083489,-1
2010-08-25,9.970206993,13.4385862314,1
2010-08-26,6.2686012574,7.4469029838,-1
2010-08-27,9.3003477608,11.2292332044,2
2010-08-30,9.9415089362,10.6895365831,-1
2010-08-31,11.0211876705,15.3283195329,0
2010-09-01,10.1525835706,10.6552691421,2
2010-09-02,12.5932638502,13.745084425,1
2010-09-03,9.721176555,11.9340940921,1
2010-09-07,13.2395115825,12.0448519485,-1
2010-09-08,14.6965844618,16.0803813455,1
2010-09-09,7.3469282946,7.1483284853,1
2010-09-10,16.8281571756,17.7863604583,1
2010-09-13,9.4233500719,12.1988492913,1
2010-09-14,10.5317996864,12.6516993965,-1
2010-09-15,5.2710559501,8.6342026101,1
2010-09-16,11.6362158724,14.8635804778,1
2010-09-17,12.7518037998,15.6982311587,0
2010-09-20,13.2504857633,17.601296764,2
2010-09-21,11.5017266216,10.4684764271,0
2010-09-22,9.2124071083,12.2816234991,-1
2010-09-23,12.7475103709,13.9013213202,-1
2010-09-24,14.643787522,15.7104919621,2
2010-09-27,9.2270971877,12.8765705622,-1
2010-09-28,7.1382969875,12.2701040578,1
2010-09-29,7.3920667224,10.5992775091,-1
2010-09-30,8.4799879049,8.5377922577,-1
2010-10-01,11.1833685168,12.7868307001,1
2010-10-04,12.2148075606,19.0125484746,-1
2010-10-05,10.2078131484,15.9864353807,2
2010-10-06,17.5258532303,19.2286937727,1
2010-10-07,10.5851977697,13.1641417459,-1
2010-10-08,12.7091825301,15.2469622233,1
2010-10-11,16.0222914774,20.6639504759,0
2010-10-12,10.3852054819,15.5911812422,0
2010-10-13,10.1633663973,16.4176590894,1
2010-10-14,19.0385271364,19.4106980556,0
2010-10-15,13.6847264975,14.9220657116,-1
2010-10-18,10.4416257571,13.2060492893,1
2010-10-19,13.0726301585,15.6484814765,-2
2010-10-20,13.8100402592,12.6908099863,1
2010-10-21,11.4728810296,12.9657124511,1
2010-10-22,9.8154042138,14.1809062465,0
2010-10-25,7.9291076157,10.4487685517,1
2010-10-26,8.716381275,19.7688269196,0
2010-10-27,9.1344088258,14.5294139659,-1
2010-10-28,8.0278032037,16.3143513084,0
2010-10-29,10.8165604817,16.2787282444,0
2010-11-01,9.1682220966,15.0998934937,0
2010-11-02,13.0324377795,13.673567182,1
2010-11-03,12.6560009726,10.656162456,1
2010-11-04,9.9362591554,15.2752375741,2
2010-11-05,14.8889436721,21.8119334199,0
2010-11-08,12.8929115168,17.1910467018,-1
2010-11-09,11.5844823652,12.7750779842,-1
2010-11-10,13.8484788885,19.0868856846,1
2010-11-11,12.5096368685,13.9612872532,-1
2010-11-12,10.8680446009,13.7525356923,-1
2010-11-15,9.872514701,12.9549707091,0
2010-11-16,11.5873861386,16.6564126441,-2
2010-11-17,11.823934958,13.0757668699,0
2010-11-18,8.1779137893,10.2541991681,2
2010-11-19,15.879343048,19.1846282022,1
2010-11-22,11.8535625071,15.3417710869,-1
